"Date","Open","High","Low","Close","Adj.Close","Volume","sma","pricevolatility"
"2016-05-20",134000,135000,131500,132000,100143.7109375,462176,141375,3500
"2016-05-23",133000,134500,133000,133000,100902.390625,310458,140325,1500
"2016-05-24",133000,135000,132000,133500,101281.7265625,355717,139450,3000
"2016-05-25",134500,137000,134000,135000,102419.7109375,500528,138725,3000
"2016-05-26",136000,137000,134500,135000,102419.7109375,342299,137800,2500
"2016-05-27",136000,136500,135000,136000,103178.3671875,346406,137150,1500
"2016-05-30",136000,137500,135000,136500,103557.71875,474129,136575,2500
"2016-05-31",136500,139500,135000,139500,105833.703125,1734508,136375,4500
"2016-06-01",137500,138500,136500,138000,104695.7109375,507997,136150,2000
"2016-06-02",138500,139000,136500,138000,104695.7109375,419054,135925,2500
"2016-06-03",138000,139500,137500,138500,105075.046875,352778,135900,2000
"2016-06-07",138500,139500,137500,139500,105833.703125,608452,136100,2000
"2016-06-08",138500,141500,138500,139500,105833.703125,598656,136100,3000
"2016-06-09",139500,140500,137500,139000,105454.3671875,578177,136100,3000
"2016-06-10",138500,140000,138000,139000,105454.3671875,350588,136225,2000
"2016-06-13",138000,138500,135500,135500,102799.0390625,476958,136250,3000
"2016-06-14",135500,138500,135000,138500,105075.046875,431039,136400,3500
"2016-06-15",138000,139500,135000,135500,102799.0390625,409607,136450,4500
"2016-06-16",135500,136000,133500,134500,102040.3828125,399199,136525,2500
"2016-06-17",136000,136500,133500,134500,102040.3828125,328695,136525,3000
"2016-06-20",136000,138500,135500,136500,103557.71875,305307,136750,3000
"2016-06-21",136500,139000,135500,138000,104695.7109375,353879,137000,3500
"2016-06-22",138500,141500,138500,140000,106213.03125,413267,137325,3000
"2016-06-23",140500,141500,140000,141000,106971.703125,273960,137625,1500
"2016-06-24",140500,142000,134500,139500,105833.703125,901574,137850,7500
"2016-06-27",141000,144000,139500,141500,107351.03125,1031506,138125,4500
"2016-06-28",141500,142000,138500,139000,105454.3671875,570526,138250,3500
"2016-06-29",140000,140000,137500,139000,106218.5234375,436045,138225,2500
"2016-06-30",138000,138500,135500,135500,103543.96875,2700499,138100,3000
"2016-07-01",136500,138000,136000,137000,104690.1953125,388387,138050,2000
"2016-07-04",138000,139500,137000,137000,104690.1953125,518981,137975,2500
"2016-07-05",136500,137000,134500,135000,103161.890625,389267,137750,2500
"2016-07-06",134000,134500,129000,130000,99341.0625,1098353,137275,5500
"2016-07-07",131500,132500,130500,131000,100105.234375,351312,136875,2000
"2016-07-08",131000,133000,129000,130500,99723.140625,472095,136450,4000
"2016-07-11",130500,132000,130500,131000,100105.234375,395952,136225,1500
"2016-07-12",131500,133000,131000,132000,100869.3828125,401323,135900,2000
"2016-07-13",133000,135500,132500,135500,103543.96875,567236,135900,3000
"2016-07-14",134000,134500,131000,131500,100487.3125,688220,135750,3500
"2016-07-15",132000,134000,132000,133000,101633.5625,608594,135675,2000
"2016-07-18",133000,134000,131000,132000,100869.3828125,417748,135450,3000
"2016-07-19",131500,132000,130000,130000,99341.0625,630163,135050,2000
"2016-07-20",129500,131000,129000,129500,98958.9921875,513880,134525,2000
"2016-07-21",130000,131000,128500,130000,99341.0625,459440,133975,2500
"2016-07-22",130000,130500,129000,129000,98576.9140625,364418,133450,1500
"2016-07-25",129500,136000,129500,135500,103543.96875,1182857,133150,6500
"2016-07-26",135000,139500,134000,136000,103926.0234375,1125762,133000,5500
"2016-07-27",137000,137500,135000,137000,104690.1953125,450182,132900,2500
"2016-07-28",137500,138000,135000,136000,103926.0234375,451570,132925,3000
"2016-07-29",135000,136000,132000,132000,100869.3828125,698032,132675,4000
"2016-08-01",132500,136000,132500,135500,103543.96875,510753,132600,3500
"2016-08-02",135500,135500,133000,134000,102397.7265625,383193,132550,2500
"2016-08-03",133000,134000,130500,132000,100869.3828125,393748,132650,3500
"2016-08-04",132500,133000,129500,130500,99723.140625,552854,132625,3500
"2016-08-05",130500,133000,130500,133000,101633.5625,432472,132750,2500
"2016-08-08",134000,134000,132000,133000,101633.5625,367241,132850,2000
"2016-08-09",135000,137000,134500,136500,104308.125,590729,133075,2500
"2016-08-10",135500,137000,134000,134000,102397.7265625,495316,133000,3000
"2016-08-11",134000,135000,133500,134500,102779.8046875,340296,133150,1500
"2016-08-12",135000,136000,134500,136000,103926.0234375,441448,133300,1500
"2016-08-16",136000,137000,133000,133000,101633.5625,564040,133350,4000
"2016-08-17",133500,135000,133000,135000,103161.890625,456621,133600,2000
"2016-08-18",134500,135000,132000,132500,101251.484375,501557,133750,3000
"2016-08-19",133000,134000,132000,132500,101251.484375,375138,133875,2000
"2016-08-22",132500,133000,131000,132000,100869.3828125,400250,134025,2000
"2016-08-23",133000,134500,132000,132500,101251.484375,421660,133875,2500
